candidateId,x,y
4972,-0.279,-0.060
4975,0.061,0.090
4987,0.133,0.061
4988,-0.078,0.200
4991,-0.235,0.083
5003,0.169,0.233
5016,0.122,0.065
5017,0.215,0.259
5027,0.233,0.012
5040,0.035,0.206
5045,0.113,-0.024
5046,0.154,0.002
5049,0.097,0.005
5062,0.274,-0.240
5065,0.205,0.149
5072,-0.112,0.015
5073,0.150,0.023
5075,0.143,0.051
5076,0.294,-0.057
5080,-0.112,-0.011
5088,0.210,0.192
5098,0.033,0.076
5099,0.251,0.038
5110,0.121,0.067
5114,-0.245,-0.002
5115,0.046,-0.000
5121,0.214,0.236
5122,0.141,0.087
5123,0.098,0.029
5127,0.227,0.009
5134,0.329,-0.008
5144,0.357,-0.091
5157,0.244,-0.099
5162,0.249,-0.228
5163,0.277,0.003
5166,0.157,0.272
5168,0.033,-0.040
5173,0.225,0.268
5178,0.236,0.163
5180,-0.146,-0.033
5192,-0.377,0.020
5195,0.037,0.033
5198,-0.084,-0.017
5199,0.146,0.222
5204,0.135,0.102
5206,0.070,0.021
5208,0.161,0.102
5216,0.094,0.020
5236,-0.050,-0.049
5237,-0.102,-0.066
5238,0.150,0.216
5239,-0.227,-0.021
5242,0.080,0.172
5245,0.255,-0.006
5248,0.131,0.118
5256,0.195,0.029
5264,0.078,0.033
5265,0.045,-0.028
5267,-0.276,0.233
5276,0.379,-0.005
5279,0.035,-0.001
5285,-0.013,0.050
5290,0.252,-0.019
5297,-0.346,0.009
5301,0.350,-0.043
5313,0.219,-0.009
5315,-0.014,0.021
5319,0.052,0.148
5320,0.400,-0.112
5323,-0.051,0.157
5326,-0.165,0.042
5329,-0.153,-0.126
5332,0.148,0.200
5340,0.236,0.055
5358,0.367,-0.022
5364,0.122,0.035
5371,-0.105,-0.084
5385,-0.113,0.024
5402,0.216,0.040
5407,0.078,0.161
5413,-0.192,0.257
5420,0.018,0.069
5445,0.344,0.001
5459,0.274,0.013
5460,0.149,0.118
5462,0.046,-0.017
5465,0.053,-0.000
5483,0.054,-0.013
5484,0.123,0.091
5486,0.263,-0.067
5501,0.009,-0.035
5508,-0.298,0.127
5514,-0.106,0.171
5521,-0.155,0.240
5522,0.166,0.008
5526,0.393,0.001
5535,0.102,-0.016
5541,0.085,0.020
5544,0.021,0.034
5555,0.044,0.088
5558,-0.389,-0.034
5560,-0.027,0.173
5562,-0.170,0.028
5565,-0.107,-0.117
5567,0.032,0.108
5569,0.282,0.028
5570,-0.046,0.140
5575,0.402,-0.057
5581,-0.005,-0.056
5593,0.131,0.141
5594,0.200,0.210
5597,0.061,0.060
5598,0.172,0.275
5603,0.067,0.093
5605,-0.161,0.073
5609,0.315,-0.009
5614,0.057,0.009
5624,-0.325,0.002
5628,0.079,0.029
5643,-0.111,-0.122
5644,0.030,0.089
5647,0.137,0.227
5654,0.104,0.108
5655,-0.056,0.138
5657,0.420,-0.118
5658,-0.019,-0.036
5670,0.267,-0.228
5673,-0.071,0.092
5675,0.047,0.078
5680,-0.166,-0.035
5682,-0.041,0.091
5684,0.286,-0.093
5687,0.492,-0.042
5692,0.125,0.048
5694,0.314,-0.086
5696,0.313,-0.072
5700,0.096,-0.006
5704,0.154,0.118
5708,0.202,0.045
5716,-0.089,0.008
5730,-0.192,-0.061
5733,-0.261,0.017
5742,0.183,-0.040
5744,0.140,0.011
5747,0.344,0.004
5753,-0.135,0.223
5758,0.052,0.071
5760,-0.014,0.064
5763,0.246,-0.013
5770,0.081,-0.075
5771,-0.141,0.148
5778,0.481,0.109
5782,-0.047,-0.068
5784,0.034,-0.016
5790,0.278,0.053
5800,0.078,0.072
5801,0.237,-0.017
5806,0.222,0.146
5812,0.171,0.048
5814,-0.038,-0.051
5816,0.281,-0.214
5817,-0.055,0.151
5820,0.081,0.056
5823,0.017,-0.027
5829,0.119,0.173
5832,0.333,-0.086
5844,0.151,0.223
5847,0.427,-0.138
5848,0.212,-0.071
5855,-0.032,-0.105
5862,0.406,-0.062
5884,-0.185,-0.064
5887,0.393,-0.043
5888,0.012,0.025
5899,0.053,0.091
5905,0.030,0.040
5906,0.074,-0.005
5908,0.028,0.137
5912,-0.253,-0.096
5915,-0.204,0.026
5918,-0.019,0.068
5921,0.098,0.088
5922,0.384,-0.147
5923,0.380,-0.089
