id,party,color
1330,group-1,#ff7f0e
1401,group-1,#ff7f0e
1440,group-1,#ff7f0e
1498,group-1,#ff7f0e
1525,group-1,#ff7f0e
1536,ungrouped,#999999
1553,group-1,#ff7f0e
1556,group-1,#ff7f0e
1622,group-1,#ff7f0e
1653,group-1,#ff7f0e
1742,group-1,#ff7f0e
1876,ungrouped,#999999
1960,group-1,#ff7f0e
1979,group-1,#ff7f0e
2111,group-1,#ff7f0e
2235,group-1,#ff7f0e
2502,group-1,#ff7f0e
2540,ungrouped,#999999
2576,group-1,#ff7f0e
2592,group-1,#ff7f0e
2599,group-1,#ff7f0e
2702,group-1,#ff7f0e
2740,group-1,#ff7f0e
2746,group-1,#ff7f0e
3285,group-1,#ff7f0e
3290,group-1,#ff7f0e
3322,group-1,#ff7f0e
3337,group-1,#ff7f0e
3395,group-1,#ff7f0e
3437,group-1,#ff7f0e
3585,group-1,#ff7f0e
3768,group-1,#ff7f0e
3840,group-1,#ff7f0e
3883,group-1,#ff7f0e
3903,group-0,#1f77b4
4035,group-1,#ff7f0e
4059,ungrouped,#999999
4066,group-0,#1f77b4
4098,group-1,#ff7f0e
4108,group-1,#ff7f0e
4117,group-1,#ff7f0e
4156,ungrouped,#999999
4170,group-1,#ff7f0e
4181,group-1,#ff7f0e
4185,group-1,#ff7f0e
4198,group-1,#ff7f0e
4247,group-1,#ff7f0e
4252,group-1,#ff7f0e
4265,group-1,#ff7f0e
4273,ungrouped,#999999
4296,group-1,#ff7f0e
4301,group-1,#ff7f0e
4305,ungrouped,#999999
4310,group-1,#ff7f0e
4321,group-1,#ff7f0e
4334,group-1,#ff7f0e
4336,group-0,#1f77b4
4376,ungrouped,#999999
4443,group-1,#ff7f0e
4459,group-0,#1f77b4
4464,group-1,#ff7f0e
4516,group-1,#ff7f0e
4546,group-1,#ff7f0e
4553,group-0,#1f77b4
4560,ungrouped,#999999
