voter,party,color
763604,FDP,#0000FF
768088,SP,#FF0000
769229,FDP,#0000FF
769804,SP,#FF0000
771443,Grüne,#008000
771708,SP,#FF0000
773981,SVP,#4F7942
776548,FDP,#0000FF
776872,Grüne,#008000
777650,Mitte,#C56C46
779144,FDP,#0000FF
779196,GLP,#32CD32
781796,GLP,#32CD32
785428,GLP,#32CD32
785712,Sonstige,#888888
786153,FDP,#0000FF
787285,GLP,#32CD32
787409,Mitte,#C56C46
788328,SVP,#4F7942
792514,SVP,#4F7942
792891,Sonstige,#888888
792976,Grüne,#008000
793360,FDP,#0000FF
798069,SVP,#4F7942
798325,SP,#FF0000
799292,GLP,#32CD32
799494,SP,#FF0000
799849,EDU,#00008B
800951,GLP,#32CD32
803086,EVP,#FFA500
803300,SVP,#4F7942
803355,GLP,#32CD32
805111,SP,#FF0000
805358,SP,#FF0000
808254,GLP,#32CD32
808648,EVP,#FFA500
810071,SP,#FF0000
811601,Mitte,#C56C46
812169,SP,#FF0000
814012,SP,#FF0000
820542,SVP,#4F7942
820617,Grüne,#008000
821243,FDP,#0000FF
823090,EDU,#00008B
826591,SVP,#4F7942
829937,Grüne,#008000
830656,SP,#FF0000
832529,Grüne,#008000
835380,FDP,#0000FF
835485,SVP,#4F7942
836849,SVP,#4F7942
837495,EVP,#FFA500
837597,SP,#FF0000
838393,SP,#FF0000
838422,SVP,#4F7942
838427,GLP,#32CD32
838484,FDP,#0000FF
839620,SVP,#4F7942
844402,Mitte,#C56C46
847967,SVP,#4F7942
848197,GLP,#32CD32
849384,Grüne,#008000
850578,Sonstige,#888888
853505,SVP,#4F7942
855230,Grüne,#008000
855485,SP,#FF0000
856696,SVP,#4F7942
856790,EVP,#FFA500
857270,SVP,#4F7942
857425,SVP,#4F7942
857872,Mitte,#C56C46
858632,GLP,#32CD32
860555,SVP,#4F7942
860855,SP,#FF0000
860909,Mitte,#C56C46
863756,GLP,#32CD32
864626,SVP,#4F7942
865495,FDP,#0000FF
867091,SVP,#4F7942
867520,SVP,#4F7942
869575,SVP,#4F7942
871375,Grüne,#008000
871679,FDP,#0000FF
874595,SP,#FF0000
877356,Mitte,#C56C46
877441,FDP,#0000FF
879503,GLP,#32CD32
880679,SP,#FF0000
885882,GLP,#32CD32
886376,SVP,#4F7942
889560,SP,#FF0000
890679,SVP,#4F7942
892998,SP,#FF0000
894188,SP,#FF0000
895559,SP,#FF0000
897548,GLP,#32CD32
898171,SP,#FF0000
899251,SVP,#4F7942
903128,Grüne,#008000
903979,SVP,#4F7942
913236,SP,#FF0000
913645,GLP,#32CD32
914774,GLP,#32CD32
915484,SP,#FF0000
916941,SVP,#4F7942
918385,Mitte,#C56C46
919431,SP,#FF0000
919859,GLP,#32CD32
921488,EDU,#00008B
922618,GLP,#32CD32
925001,Grüne,#008000
925868,SVP,#4F7942
928059,SP,#FF0000
928364,SVP,#4F7942
929276,SP,#FF0000
929336,SVP,#4F7942
931136,SVP,#4F7942
931381,FDP,#0000FF
932773,Grüne,#008000
934436,SVP,#4F7942
935594,SVP,#4F7942
935950,SVP,#4F7942
939185,SP,#FF0000
939236,FDP,#0000FF
939424,Grüne,#008000
942993,SVP,#4F7942
945072,FDP,#0000FF
948172,FDP,#0000FF
950010,SP,#FF0000
953965,Grüne,#008000
955592,Grüne,#008000
956775,SVP,#4F7942
957096,SVP,#4F7942
957393,SVP,#4F7942
959648,Mitte,#C56C46
