respondentId,party,color
9642,IS,#2ca02c
9643,AT,#ae8648
9644,GB,#7fa047
9645,RU,#61667a
9646,PT,#f8bf3f
9647,AM,#d1322e
9648,NO,#3d8e61
9649,PT,#f8bf3f
9650,DE,#918e4e
9651,DK,#6b8e57
9652,ES,#eeb33e
9653,DK,#6b8e57
9654,DE,#918e4e
9655,DK,#6b8e57
9656,HR,#bc8144
9657,DK,#6b8e57
9658,NO,#3d8e61
9659,GE,#c43d39
9660,FR,#b49f44
9661,NO,#3d8e61
9662,IT,#ce893f
9663,NL,#8c974b
9664,DK,#6b8e57
9665,SK,#9d7d4f
9666,SE,#3c8a6a
9667,AM,#d1322e
9668,SK,#9d7d4f
9669,AT,#ae8648
9670,ME,#d1783c
9671,PL,#867f57
9672,BY,#7b7261
9673,HU,#ac7c49
9674,FI,#2b8384
9675,FI,#2b8384
9676,FI,#2b8384
9677,FR,#b49f44
9678,AT,#ae8648
9679,IT,#ce893f
9680,RS,#c17541
9681,DE,#918e4e
9682,NO,#3d8e61
9683,HU,#ac7c49
9684,DK,#6b8e57
9685,HR,#bc8144
9686,FR,#b49f44
9687,SE,#3c8a6a
9688,FI,#2b8384
9689,BG,#c66a3e
9690,IS,#2ca02c
9691,FR,#b49f44
9692,DK,#6b8e57
9693,FR,#b49f44
9694,PL,#867f57
9695,GB,#7fa047
9696,RU,#61667a
9697,IT,#ce893f
9698,DK,#6b8e57
9699,LT,#6e7a64
9700,IT,#ce893f
9701,FI,#2b8384
9702,HR,#bc8144
9703,DE,#918e4e
9704,NO,#3d8e61
9705,IS,#2ca02c
9706,LT,#6e7a64
9707,EE,#507d73
9708,SK,#9d7d4f
9709,PT,#f8bf3f
9710,NO,#3d8e61
9711,CH,#b19246
9712,CH,#b19246
9713,AZ,#cf2a2d
9714,GB,#7fa047
9715,DK,#6b8e57
9716,IS,#2ca02c
9717,NL,#8c974b
9718,HU,#ac7c49
9719,EE,#507d73
9720,RU,#61667a
9721,SE,#3c8a6a
9722,PT,#f8bf3f
9723,IT,#ce893f
9724,RO,#b06e48
9725,DK,#6b8e57
9726,AT,#ae8648
9727,CH,#b19246
9728,FR,#b49f44
9729,IS,#2ca02c
9730,DK,#6b8e57
9731,GE,#c43d39
9732,BA,#c37c41
9733,BY,#7b7261
9734,NO,#3d8e61
9735,IT,#ce893f
9736,CH,#b19246
9737,FR,#b49f44
